path,category,used_by_production_client,reader_status,reason,race_ids,map_race_item_references,packed_native,packed_reference,disposition
patch2/ymir work/npc2/historian/walk.gr2,NPC model/animation,yes - registered client configuration,malformed,duplicate/empty track target,33002,patch2/ymir work/npc2/historian/walk.msa:3; share/conf/mob_proto.txt:1312,0,1,BLOCK migration; implement and verify native semantics
season1/season1/monster/ch_officer/skipia_officer_attack.gr2,mob model/animation,unknown - no complete active reference chain proved,malformed,duplicate/empty track target,2404;2414;2434;2454,season1/season1/monster/ch_officer/skipia_officer_attack.msa:3; share/conf/mob_proto.txt:358; share/conf/mob_proto.txt:362; share/conf/mob_proto.txt:366; share/conf/mob_proto.txt:370; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:187; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:190; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:191; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:193; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:195; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:200; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:201,0,1,unresolved; do not declare unused or safe to remove
season1/season1/monster/ch_officer/skipia_officer_attack1.gr2,mob model/animation,unknown - no complete active reference chain proved,malformed,duplicate/empty track target,2404;2414;2434;2454,season1/season1/monster/ch_officer/skipia_officer_attack1.msa:3; share/conf/mob_proto.txt:358; share/conf/mob_proto.txt:362; share/conf/mob_proto.txt:366; share/conf/mob_proto.txt:370; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:187; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:190; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:191; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:193; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:195; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:200; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:201,0,1,unresolved; do not declare unused or safe to remove
season1/season1/monster/ch_officer/skipia_officer_back_dead.gr2,mob model/animation,unknown - no complete active reference chain proved,malformed,duplicate/empty track target,2404;2414;2434;2454,season1/season1/monster/ch_officer/skipia_officer_back_dead.msa:3; share/conf/mob_proto.txt:358; share/conf/mob_proto.txt:362; share/conf/mob_proto.txt:366; share/conf/mob_proto.txt:370; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:187; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:190; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:191; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:193; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:195; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:200; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:201,0,1,unresolved; do not declare unused or safe to remove
season1/season1/monster/ch_officer/skipia_officer_back_knockdown.gr2,mob model/animation,unknown - no complete active reference chain proved,malformed,duplicate/empty track target,2404;2414;2434;2454,season1/season1/monster/ch_officer/skipia_officer_back_knockdown.msa:3; share/conf/mob_proto.txt:358; share/conf/mob_proto.txt:362; share/conf/mob_proto.txt:366; share/conf/mob_proto.txt:370; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:187; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:190; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:191; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:193; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:195; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:200; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:201,0,1,unresolved; do not declare unused or safe to remove
season1/season1/monster/ch_officer/skipia_officer_back_standup.gr2,mob model/animation,unknown - no complete active reference chain proved,malformed,duplicate/empty track target,2404;2414;2434;2454,season1/season1/monster/ch_officer/skipia_officer_back_standup.msa:3; share/conf/mob_proto.txt:358; share/conf/mob_proto.txt:362; share/conf/mob_proto.txt:366; share/conf/mob_proto.txt:370; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:187; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:190; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:191; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:193; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:195; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:200; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:201,0,1,unresolved; do not declare unused or safe to remove
season1/season1/monster/ch_officer/skipia_officer_dead.gr2,mob model/animation,unknown - no complete active reference chain proved,malformed,duplicate/empty track target,2404;2414;2434;2454,season1/season1/monster/ch_officer/skipia_officer_dead.msa:3; share/conf/mob_proto.txt:358; share/conf/mob_proto.txt:362; share/conf/mob_proto.txt:366; share/conf/mob_proto.txt:370; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:187; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:190; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:191; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:193; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:195; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:200; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:201,0,1,unresolved; do not declare unused or safe to remove
season1/season1/monster/ch_officer/skipia_officer_front_damage.gr2,mob model/animation,unknown - no complete active reference chain proved,malformed,duplicate/empty track target,2404;2414;2434;2454,season1/season1/monster/ch_officer/skipia_officer_front_damage.msa:3; season1/season1/monster/ch_officer/skipia_officer_damage.msa:3; share/conf/mob_proto.txt:358; share/conf/mob_proto.txt:362; share/conf/mob_proto.txt:366; share/conf/mob_proto.txt:370; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:187; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:190; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:191; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:193; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:195; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:200; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:201,0,1,unresolved; do not declare unused or safe to remove
season1/season1/monster/ch_officer/skipia_officer_front_damage1.gr2,mob model/animation,unknown - no complete active reference chain proved,malformed,duplicate/empty track target,2404;2414;2434;2454,season1/season1/monster/ch_officer/skipia_officer_front_damage1.msa:3; season1/season1/monster/ch_officer/skipia_officer_damage1.msa:3; share/conf/mob_proto.txt:358; share/conf/mob_proto.txt:362; share/conf/mob_proto.txt:366; share/conf/mob_proto.txt:370; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:187; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:190; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:191; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:193; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:195; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:200; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:201,0,1,unresolved; do not declare unused or safe to remove
season1/season1/monster/ch_officer/skipia_officer_front_standup.gr2,mob model/animation,unknown - no complete active reference chain proved,malformed,duplicate/empty track target,2404;2414;2434;2454,season1/season1/monster/ch_officer/skipia_officer_standup.msa:3; season1/season1/monster/ch_officer/skipia_officer_front_standup.msa:3; share/conf/mob_proto.txt:358; share/conf/mob_proto.txt:362; share/conf/mob_proto.txt:366; share/conf/mob_proto.txt:370; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:187; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:190; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:191; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:193; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:195; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:200; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:201,0,1,unresolved; do not declare unused or safe to remove
season1/season1/monster/ch_officer/skipia_officer_run.gr2,mob model/animation,unknown - no complete active reference chain proved,malformed,duplicate/empty track target,2404;2414;2434;2454,season1/season1/monster/ch_officer/skipia_officer_run.msa:3; share/conf/mob_proto.txt:358; share/conf/mob_proto.txt:362; share/conf/mob_proto.txt:366; share/conf/mob_proto.txt:370; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:187; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:190; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:191; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:193; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:195; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:200; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:201,0,1,unresolved; do not declare unused or safe to remove
